H2,CH4,C2H6,C2H4,C2H2,Type
1458.0,9.0,1812.0,0.0001,0.0001,Partial discharge
2240.0,157.0,90.0,157.0,45.0,Partial discharge
73.0,8.0,4.0,2.0,12.0,Partial discharge
235.0,16.0,0.0001,35.0,0.0001,Partial discharge
9340.0,995.0,60.0,6.0,7.0,Partial discharge
33046.0,619.0,58.0,2.0,0.0001,Partial discharge
8266.0,1061.0,22.0,0.0001,0.0001,Partial discharge
230.0,15.9,16.3,1.9,2.4,Partial discharge
109.0,16.0,0.0001,0.0001,0.0001,Partial discharge
113.0,21.0,48.0,0.0001,4.0,Partial discharge
1309.0,124.0,113.0,6.0,0.0001,Partial discharge
1549.2,10.2,0.0001,53.19,0.0001,Partial discharge
101.0,8.1,0.0001,3.0,0.0001,Partial discharge
36036.0,4704.0,554.0,5.0,10.0,Partial discharge
160.0,10.0,3.0,1.0,1.0,Partial discharge
1076.0,95.0,4.0,71.0,231.0,Partial discharge
407.0,28.0,15.0,21.0,0.0001,Partial discharge
2240.0,560.0,380.0,450.0,940.0,Partial discharge
92600.0,10200.0,1.0,2.0,0.0001,Partial discharge
2587.2,112.25,4.704,1.4,0.0001,Partial discharge
195.9,14.5,11.6,2.4,0.0001,Partial discharge
180.85,0.574,0.234,0.188,0.0001,Partial discharge
4480.0,560.0,380.0,403.0,896.0,Partial discharge
1651.0,90.0,33.0,45.0,2.0,Partial discharge
980.0,73.0,58.0,12.0,0.0001,Partial discharge
6600.0,1000.0,38.0,2.0,19.0,Partial discharge
56.0,61.0,75.0,32.0,31.0,Partial discharge
2240.0,168.0,25.0,0.0001,0.0001,Partial discharge
92600.0,10200.0,0.0001,0.0001,0.0001,Partial discharge
24.3,15.7,6.4,11.2,29.8,Partial discharge
485.0,35.0,29.0,6.0,0.0001,Partial discharge
109.0,4.0,11.0,9.0,0.0001,Partial discharge
16000.0,4000.0,500.0,8500.0,16000.0,Partial discharge
2031.0,149.0,20.0,3.0,0.0001,Partial discharge
870.0,77.0,73.0,54.0,14.0,Partial discharge
106.0,4.0,2.0,1.0,0.0001,Partial discharge
32930.0,2397.0,157.0,0.0001,0.0001,Partial discharge
197.0,12.0,6.6,15.0,0.0001,Partial discharge
117.0,17.0,1.0,3.0,1.0,Partial discharge
160.0,24.7,38.5,0.0001,0.0001,Partial discharge
134.0,13.0,156.0,0.0001,0.0001,Partial discharge
166.0,21.0,38.0,6.0,0.0001,Partial discharge
183.0,6.0,0.0001,5.0,0.0001,Partial discharge
2240.0,157.0,90.0,45.0,45.0,Partial discharge
6454.0,2313.0,121.0,2159.0,6432.0,Spark discharge
240.0,20.0,5.0,28.0,96.0,Spark discharge
65.2,20.0,3.9,8.13,25.1,Spark discharge
143.0,5.8,16.0,10.6,26.3,Spark discharge
30.1,17.1,2.2,5.5,30.1,Spark discharge
120.0,25.0,1.0,8.0,40.0,Spark discharge
137.0,6.0,11.4,6.4,16.5,Spark discharge
23.0,63.0,54.0,10.0,0.3,Spark discharge
4879.0,262.0,15.0,332.0,1827.0,Spark discharge
301.0,5.78,4.7,9.7,5.0,Spark discharge
716.0,7.1,3.3,20.0,6.8,Spark discharge
289.0,13.4,18.2,49.8,36.3,Spark discharge
179.0,29.0,10.0,17.0,33.0,Spark discharge
2177.0,1049.0,207.0,440.0,705.0,Spark discharge
7600.0,1230.0,318.0,836.0,1560.0,Spark discharge
543.0,120.0,41.0,411.0,1880.0,Spark discharge
186.0,38.3,13.0,37.0,85.9,Spark discharge
4.1,3.5,0.68,1.2,5.2,Spark discharge
210.0,22.0,6.0,6.0,7.0,Spark discharge
254.0,5.2,0.0001,9.3,88.0,Spark discharge
385.0,28.8,50.0,82.3,171.0,Spark discharge
843.0,133.0,12.0,168.0,385.0,Spark discharge
208.0,7.6,27.5,9.7,14.4,Spark discharge
65.5,23.3,1.0,2.1,26.0,Spark discharge
35.0,6.0,3.0,26.0,482.0,Spark discharge
3559.0,187.0,22.0,230.0,1140.0,Spark discharge
10092.0,5399.0,530.0,6500.0,37565.0,Spark discharge
1900.0,285.0,31.0,957.0,7730.0,Spark discharge
307.0,22.0,2.0,33.0,109.0,Spark discharge
225.0,4.7,0.0001,8.7,89.0,Spark discharge
78.0,20.0,11.0,13.0,28.0,Spark discharge
266.0,30.2,4.9,26.2,60.2,Spark discharge
645.0,86.0,13.0,110.0,317.0,Spark discharge
119.0,8.0,23.3,7.9,12.3,Spark discharge
57.0,24.0,2.0,27.0,30.0,Spark discharge
14.2,4.0,1.4,1.5,9.51,Spark discharge
818.0,94.0,49.0,121.0,978.0,Spark discharge
115.0,25.5,110.0,12.2,8.6,Spark discharge
205.0,20.0,8.0,0.0001,6.0,Spark discharge
101.72,27.65,7.13,16.92,53.87,Spark discharge
135.0,27.0,24.0,9.0,13.0,Spark discharge
47.5,22.9,4.5,9.6,15.3,Spark discharge
6870.0,1028.0,79.0,900.0,5500.0,Spark discharge
119.0,8.0,20.0,0.0001,21.0,Spark discharge
60.0,10.0,4.0,4.0,4.0,Spark discharge
385.0,60.0,8.0,53.0,159.0,Spark discharge
5.26,0.0001,0.0001,28.2,66.4,Spark discharge
2510.0,202.0,139.0,208.0,1730.0,Spark discharge
650.0,81.0,170.0,51.0,270.0,Spark discharge
153.0,18.0,9.0,0.0001,278.0,Spark discharge
1790.0,580.0,321.0,336.0,619.0,Spark discharge
256.0,8.0,37.4,15.0,21.1,Spark discharge
60.0,10.0,0.0001,11.0,39.0,Spark discharge
151.0,13.5,50.7,5.0,9.2,Spark discharge
9.0,3.9,0.8,4.0,13.0,Spark discharge
274.0,27.0,5.0,33.0,97.0,Spark discharge
305.0,100.0,33.0,161.0,541.0,Spark discharge
176.0,652.9,47.7,75.7,68.7,Spark discharge
87.0,34.0,23.0,15.0,60.0,Arc discharge
220.0,77.0,22.0,170.0,240.0,Arc discharge
274.0,27.0,5.0,33.0,97.0,Arc discharge
155.0,49.0,69.3,42.0,10.7,Arc discharge
137.0,67.0,7.0,53.0,104.0,Arc discharge
63.0,22.0,15.0,11.0,76.0,Arc discharge
292.0,346.0,32.0,313.0,196.0,Arc discharge
217.0,286.0,14.0,458.0,884.0,Arc discharge
13500.0,6110.0,212.0,4510.0,4040.0,Arc discharge
88.5,22.8,108.4,12.0,7.5,Arc discharge
50.0,42.0,98.0,10.0,33.0,Arc discharge
60.0,5.0,2.0,21.0,32.0,Arc discharge
25.0,9.0,6.0,5.0,44.0,Arc discharge
37.9,7.7,2.16,18.4,33.7,Arc discharge
18.34,16.26,3.38,17.95,16.42,Arc discharge
1084.0,188.0,8.0,166.0,769.0,Arc discharge
497.0,230.0,51.0,151.0,122.0,Arc discharge
32.4,5.5,1.4,12.6,13.2,Arc discharge
